,马克思主义理论(21,种)
3,戏曲艺术,中国戏曲学院,1-1172/J,
4,艺术百家,江苏省文化艺术研究院,2-1092/J
17,音乐研究,人民音乐出版社有限公司,11-1665/J
18,音乐艺术(上海音乐学院学报),上海音乐学院,31-1004/J
19,中国电视,中国电视艺术委员会,11-2750/J
20,中国书法,中国书法家协会等,11-1136/J
21,中国音乐学,中国艺术研究院,11-1316/J
22,中央音乐学院学报,中央音乐学院,11-1183/J
,历史学(27,种)
序号,期刊名称,主办(管)单位,CN号
1,安徽史学,安徽省社会科学院,34-1008/K
2,当代中国史研究,当代中国研究所,11-3200/K
3,东南文化,南京博物院,32-1096/K
4,古代文明,东北师范大学世界古典文明史研究所,22-1213/K
5,国际汉学,北京外国语大学,10-1272/K
6,华侨华人历史研究,中国华侨华人历史研究所,11-1158/K
7,近代史研究,中国社会科学院近代史研究所,11-1215/K
8,抗日战争研究,中国社会科学院近代史研究所等,11-2890/K
9,历史档案,中国第一历史档案馆,11-1265/G2
10,历史教学,历史教学社,12-1010/G4
11,历史研究,中国社会科学院,11-1213/K
12,清史研究,中国人民大学清史研究所,11-2765/K
13,史林,上海社会科学院历史研究所,31-1105/K
14,史学集刊,吉林大学,22-1064/K
15,史学理论研究,中国社会科学院世界历史研究所,11-2934/K
16,史学史研究,北京师范大学历史学院史学研究所,11-1667/K
17,史学月刊,河南大学、河南省历史学会,41-1016/K
18,世界历史,中国社会科学院世界历史研究所,11-1046/K
19,文史,中华书局,11-1678/K
20,西域研究,新疆社会科学院,65-1121/C
21,中国边疆史地研究,中国社会科学院中国边疆研究所,11-2795/K
22,中国经济史研究,中国社会科学院经济研究所,11-1082/F
23,中国历史地理论丛,陕西师范大学,61-1027/K
24,中国农史,中国农业历史学会等,32-1061/S
25,中国社会经济史研究,厦门大学历史研究所,35-1023/F
26,中国史研究,中国社会科学院历史研究所,11-1039/K
27,中华文史论丛,上海古籍出版社,31-1984/K
2,故宫博物院院刊,故宫博物院,11-1202/G2
3,江汉考古,湖北省文物考古研究所,42-1077/K
4,考古,中国社会科学院考古研究所,11-1208
5,考古学报,中国社会科学院考古研究所,11-1209
6,考古与文物,陕西省考古研究院,61-1010/K
7,文物,文物出版社,11-1532/K
,经济学(75,种)
序号,期刊名称,主办(管)单位,CN号
1,保险研究,中国保险学会,11-1632/F
2,财经科学,西南财经大学,51-1104/F
3,财经理论与实践,湖南大学,43-1057/F
4,财经论丛,浙江财经大学,33-1388/F
5,财经问题研究,东北财经大学,21-1096/F
6,财经研究,上海财经大学,31-1012/F
7,财贸经济,中国社会科学院财经战略研究院,11-1166/F
8,财贸研究,安徽财经大学,34-1093/F
9,财政研究,中国财政学会,11-1077/F
10,产业经济研究,南京财经大学,32-1683/F
11,当代财经,江西财经大学,36-1030/F
12,当代经济科学,西安交通大学,61-1400/F
13,当代经济研究,吉林财经大学,22-1232/F
14,改革,重庆社会科学院,50-1012/F
15,广东财经大学学报,广东财经大学,44-1711/F
16,贵州财经大学学报,贵州财经大学,52-1156/F
17,国际金融研究,中国国际金融学会等,11-1132/F
18,国际经济评论,中国社会科学院世界经济与政治研究所,11-3799/F
19,国际经贸探索,广东外语外贸大学,44-1302/F
20,国际贸易,中国商务出版社,11-1600/F
21,国际贸易问题,对外经济贸易大学,11-1692/F
22,国际商务,对外经济贸易大学,11-3645/F
23,河北经贸大学学报,河北经贸大学,13-1207/F
24,宏观经济研究,国家发展和改革委员会宏观经济研究院,11-3952/F
25,会计研究,中国会计学会,11-1078/F
26,江西财经大学学报,江西财经大学,36-1224/F
27,金融经济学研究,广东金融学院,44-1696/F
28,金融论坛,城市金融研究所、中国城市金融学会,11-4613/F
29,金融评论,中国社会科学院金融研究所,11-5865/F
30,金融研究,中国金融学会,11-1268/F
31,经济经纬,河南财经政法大学,41-1421/F
32,经济科学,北京大学,11-1564/F
33,经济理论与经济管理,中国人民大学,11-1517/F
34,经济评论,武汉大学,42-1348/F
35,经济社会体制比较,中共中央编译局,11-1591/F
36,经济问题,山西省社会科学院,14-1058/F
37,经济问题探索,云南省发展和改革委员会,53-1006/F
38,经济学(季刊),北京大学中国经济研究中心,11-6010/F
39,经济学动态,中国社会科学院经济研究所,11-1057/F
40,经济学家,西南财经大学等,51-1312/F
41,经济研究,中国社会科学院经济研究所,11-1081/F
42,经济与管理研究,首都经济贸易大学,11-1384/F
43,经济纵横,吉林省社会科学院,22-1054/F
44,南方经济,广东省社会科学院等,44-1068/F
45,南开经济研究,南开大学经济学院,12-1028/F
46,农村经济,四川省农业经济学会,51-1029/F
47,农业技术经济,中国农业技术经济研究会等,11-1883/S
48,农业经济问题,中国农业经济学会等,11-1323/F
49,山西财经大学学报,山西财经大学,14-1221/F
50,商业经济与管理,浙江工商大学,33-1336/F
51,商业研究,哈尔滨商业大学等,23-1364/F
52,上海财经大学学报,上海财经大学,31-1817/C
53,上海经济研究,上海社会科学院经济研究所,31-1163/F
54,审计研究,中国审计学会,11-1024/F
55,审计与经济研究,南京审计大学,32-1317/F
56,世界经济,中国社会科学院世界经济与政治研究所,11-1138/F
57,世界经济文汇,复旦大学,31-1139/F
58,世界经济研究,上海社会科学院世界经济研究所,31-1048/F
59,世界经济与政治论坛,江苏省社会科学院世界经济研究所,32-1544/F
60,数量经济技术经济研究,数量经济与技术经济研究所,11-1087/F
61,税务研究,中国税务杂志社,11-1011/F
62,现代财经,天津财经大学,12-1387/F
63,现代经济探讨,江苏省社会科学院,32-1566/F
64,现代日本经济,吉林大学、全国日本经济学会,22-1065/F
65,亚太经济,福建社会科学院,35-1014/F
66,云南财经大学学报,云南财经大学,53-1209/F
67,证券市场导报,深圳证劵交易所综合研究所,44-1343/F
68,政治经济学评论,中国人民大学经济学院,11-5859/D
69,中国工业经济,中国社会科学院工业经济研究所,11-3536/F
70,中国经济问题,厦门大学经济研究所,35-1020/F
71,中国农村观察,中国社会科学院农村发展研究所,11-3586/F
72,中国农村经济,中国社会科学院农村发展研究所,11-1262/F
73,中国土地科学,中国土地学会、中国土地勘测规划院,11-2640/F
74,中南财经政法大学学报,中南财经政法大学,42-1663/F
75,中央财经大学学报,中央财经大学,11-3846/F
,政治学(35,种)
序号,期刊名称,主办(管)单位,CN号
1,北京行政学院学报,北京行政学院,11-4054/D
2,当代亚太,中国社会科学院亚太与全球战略研究院等,11-3706/C
