
5,外国文学评论,中国社会科学院外国文学研究所,CN11-1068/I
6,外国文学研究,华中师范大学文学院,CN42-1060/I
序号,期刊名称,主办(管)单位,CN号
1,当代文坛,四川省作家协会,CN51-1076/I
2,当代作家评论,辽宁省作家协会,CN21-1046/I
3,红楼梦学刊,中国艺术研究院,CN11-1676/I
4,鲁迅研究月刊,北京鲁迅博物馆,CN11-2722/I
5,民族文学研究,中国社会科学院民族文学研究所,CN11-1443/I
6,南方文坛,广西文联,CN45-1049/I
7,文学评论,中国社会科学院文学研究所,CN11-1037
8,文学遗产,中国社会科学院文学研究所,CN11-1009/I
9,文艺理论研究,中国文艺理论学会、华东师范大学,CN31-1152/I
10,文艺理论与批评,中国艺术研究院,CN11-1581/J
11,文艺争鸣,吉林省文学艺术界联合会,CN22-1031
12,小说评论,陕西省作家协会,CN61-1071/J
13,新文学史料,人民文学出版社,CN11-1283/I
14,扬子江评论,江苏省作家协会,CN32-1787/I
15,中国比较文学,上海外国语大学、中国比较文学学会,CN31-1694/I
16,中国现代文学研究丛刊,中国现代文学馆,CN11-2589/I
序号,期刊名称,主办(管)单位,CN号
1.,北京舞蹈学院学报,北京舞蹈学院,CN11-3982/J
2.,当代电影,中国电影艺术研究中心等,CN11-1447/G2
3.,电影艺术,中国电影家协会,CN11-1528/J
4.,美术观察,中国艺术研究院,CN11-3665/J
5.,美术研究,中央美术学院,CN11-1190/J
6.,民族艺术,广西民族文化艺术研究院,CN45-1052/J
7.,南京艺术学院学报((美术与设计版),南京艺术学院,CN32-1008/J
8.,世界电影,中国电影家协会,CN11-2023/G2
9.,文艺研究,中国艺术研究院,CN11-1672/J
10.,戏剧,中央戏剧学院,CN11-1159/J
11.,戏剧艺术,上海戏剧学院,CN31-1140/J
12.,戏曲艺术,中国戏曲学院,CN11-1172/J
13.,新美术,中国美术学院学报,CN33-1068/J
14.,艺术百家,江苏省文化艺术研究院,CN32-1092/J
15.,音乐研究,人民音乐出版社,CN11-1665/J
16.,音乐艺术(上海音乐学院学报),上海音乐学院,CN31-1004/J
17.,中国电视,中国电视艺术委员会,CN11-2750/J
18.,中国书法,中国书法家协会,CN11-1136/J
19.,中国音乐学,中国艺术研究院,CN11-1316/J
20.,中央音乐学院学报,中央音乐学院,CN11-1183/J
21.,装饰,清华大学,CN11-1392/J
序号,期刊名称,主办(管)单位,CN号
1.,安徽史学,安徽省社会科学院,CN34-1008/K
2.,当代中国史研究,当代中国研究所,CN11-3200/K
3.,东南文化,南京博物院,CN32-1096/K
4.,古代文明,东北师范大学世界古典文明史研究所等,CN22-1213/K
5.,华侨华人历史研究,中国华侨华人历史研究所,CN11-1158/K
6.,近代史研究,中国社会科学院近代史研究所,CN11-1215/K
7.,抗日战争研究,中国社会科学院近代史研究所等,CN11-2890/K
8.,历史档案,中国第一历史档案馆,CN11-1265/G2
9.,历史教学,历史教学社,CN12-1010/G4
