,管理学,马克思主义,哲学,宗教学,语言学
94,读书,社会科学战线,云南社会科学,浙江学刊,学术界
95,学术月刊,北京社会科学,南京社会科学,人文杂志,贵州社会科学
96,中国社会科学院研究生院学报,社会科学研究,浙江社会科学,求索,宁夏社会科学
97,文史哲,江海学刊,江淮论坛,社会科学辑刊,河北学刊
98,百年潮,开放时代,社会科学家,内蒙古社会科学,
99,北京大学学报(哲社版),南京师大学报(社科版),中山大学学报(社科版),兰州大学学报(社科版),思想战线
100,北京师范大学学报(人文社科版),华南师范大学学报(社科版),湖南师范大学社会科学学报,陕西师范大学学报(哲社版),四川大学学报(哲社版)
101,武汉大学学报(人文科学版),厦门大学学报(哲社版),暨南学报(哲社版),河北大学学报(哲社版),求是学刊
102,吉林大学社会科学学报,西北大学学报(哲社版),安徽大学学报(哲社版),山西大学学报(哲社版),
103,中国人民大学学报,浙江大学学报(人文社科版),东北师大学报(哲社版),上海大学学报(社科版),华中师范大学学报(人文社科版)
104,南京大学学报(哲学、人文、社科版),内蒙古大学学报(人文社科版),西南师范大学学报(人文社科版),宁夏大学学报(人文社科版),郑州大学学报(哲社版)
105,复旦学报(社科版),华东师范大学学报(哲社版),清华大学学报(哲社版),四川师范大学学报(社科版),
106,旅游学刊,城市规划,地理与地理信息科学,地域研究与开发,旅游科学
107,城市规划汇刊,经济地理,人文地理,,
108,自然资源学报,环境保护,长江流域资源与环境,资源科学,环境科学动态
109,干旱区资源与环境,农村生态环境,,,
