
管理学(26种)
序号,期刊名称,期刊信息
19,外语研究,"南京国际关系学院《外语研究》编辑部(210039)(025)86712980  80838422"
20,外语学刊,"哈尔滨市南岗区学府路74号(150080)(0451)86608322"
21,中国俄语教学,"北京市海淀区833信箱(100089)(010)68901923"
22,古汉语研究,"湖南师范大学文学院一楼古汉语研究杂志社(410081)(0731)8872560"
中国文学(15种)
序号,期刊名称,期刊信息
1,文学评论,"北京市建国门内大街5号(100732)(010)65264557"
2,文学遗产,"北京市建国门内大街5号(100732)(010)85195453"
3,文艺理论研究,上海中山北路3663号华东师范大学(200062)
4,中国现代文学研究丛刊,"北京市朝阳区文学馆路45号(100029)(010)84615522-1114"
5,文艺争鸣,"长春市自由大路509号(130021)(0431)85643867"
6,当代作家评论,"沈阳市大东区小北关街31号(110041)(024)88501513"
8,南方文坛,"广西南宁市建政路28号(530023)(0771)5624424  5623613"
9,中国文学研究,"湖南长沙湖南师范大学文学院(410081)0731-8872197"
10,明清小说研究,"南京市虎踞北路12号(210013)(025)83391043"
11,鲁迅研究月刊,"北京市阜内大街宫门口二条十九号(100034)(010)66165647"
12,红楼梦学刊,"北京市朝阳区惠新北里甲1号(100029)(010)64813287"
13,新文学史料,"北京市朝内大街166号(100705)(010)65252161"
14,当代文坛,"四川省成都市红星路二段85号(610012)(028)86742979"
15,民族文学研究,"北京市建内大街5号(100732)(010)85195627  85195634"
外国文学(6种)
序号,期刊名称,期刊信息
1,外国文学评论,"北京市建国门内大街5号(100732)(010)85195583"
2,外国文学,北京外国语大学《外国文学》编辑部(100089)
3,外国文学研究,"武汉华中师范大学文学院(430079)(027)67866042"
4,国外文学,"北京大学《国外文学》编辑部(100871)(010)62764996"
5,当代外国文学,"南京汉口路22号(210093)(025)83593381"
6,俄罗斯文艺,北京师范大学(100875)
艺术学(17种)
序号,期刊名称,期刊信息
1,中国音乐学,"北京市朝阳区惠新北里甲1号(100029)(010)64933343"
2,文艺研究,"北京市朝阳区惠新北里甲1号(100029)(010)64934162"
3,中央音乐学院学报,"北京市鲍家街43号(100031)(010)66417541"
4,音乐研究,"北京市翠微路2号(100036)(010)68152605  68210291"
6,当代电影,"北京市海淀区小西天文慧园路3号(100082)(010)62254422-2810  62223193"
7,电影艺术,"北京市北三环东路22号(100013)(010)64296227"
8,黄钟:武汉音乐学院学报,"中国武汉市武昌解放路255号(430060)(027)88068303"
9,新美术:中国美术学院学报,"浙江杭州市南山路218号(310002)(0571)87164692"
10,北京电影学院学报,"北京市海淀区西土城路4号(100088)(010)82283412"
11,民族艺术,"广西南宁市民主路11-4号(530023)(0771)5621053"
12,电视研究,"北京市复兴路11号中央电视台(100859)(010)68506356"
13,中国音乐,"北京市朝阳区德外丝竹园(100101)(010)64887378"
14,戏剧艺术:上海戏剧学院学报,"中国上海华山路630号(200040)(021)62482646"
15,人民音乐,"北京市农展馆南里10号(100026)(010)65066618  65389266"
16,戏剧:中央戏剧学院学报,"北京市东棉花胡同39号(100710)(010)64056580"
17,中国书法,"北京市农展馆南里10号,中国文联大楼15层(100026)(010)65389311"
历史学(25种)
序号,期刊名称,期刊信息
1,历史研究,"北京市鼓楼西大街甲158号(100720)(010)64076113"
2,近代史研究,"北京市王府井大街东厂胡同1号(100006)(010)65275944"
3,中国史研究,"北京市建内大街5号(100732)(010)65137744-5836"
4,清史研究,"北京市中关村大街59号(100872)(010)62511428"
5,史学理论研究,"北京市王府井大街东厂胡同1号(100006)(010)65248020"
6,中国历史地理论丛,"陕西师范大学校内(710062)(029)85303935"
7,抗日战争研究,"北京市王府井大街东厂胡同1号(100006)(010)65275931"
8,史林,"上海市中山西路1610号1401室(200235)(021)64862266-2401"
9,史学史研究,北京师范大学史学研究所(100875)
10,史学月刊,"开封市河南大学东一斋史学月刊编辑部(475001)(0378)2869623"
11,世界历史,"北京市王府井大街东厂胡同1号(100006)(010)65275907"
12,安徽史学,"合肥市卫岗安徽省社会科学院内(230053)(0551)3438361"
13,西域研究,"新疆乌鲁木齐市北京南路16号(830011)(0991)3837937"
14,史学集刊,"长春市前进大街2699号(130012)(0431)85166107"
15,华侨华人历史研究,"北京市北新桥三条甲1号(100007)(010)64018846"
16,当代中国史研究,"北京市地安门西大街旌勇里8号(100009)(010)66572319"
17,历史档案,"北京市故宫西华门内(100031)(010)63098376"
18,民国档案,"南京市中山东路309号(210016)(025)84665959"
19,中国边疆史地研究,"北京市王府井大街东厂胡同一号(100006)(010)65274307"
20,敦煌学辑刊,"兰州大学一分部衡山堂五楼(730020)(0931)8913310"
21,中国史研究动态,"北京市建内大街5号(100732)(010)65137744-5839\5836"
22,历史教学,"天津市和平区西康路35号(300051)022-23332330  23332485"
23,文献,"北京市中关村南大街33号(100081)(010)66174391"
24,历史教学问题,"上海市中山北路3663号(200062)(021)62232334"
25,中国地方志,"北京市东城区大雅宝胡同一号梓峰大厦(100730)(010)65275971"
考古学(7种)
序号,期刊名称,期刊信息
1,考古学报,"北京市王府井大街27号(100710)(010)65253051"
2,文物,"北京市东城区东直门内北小街2号楼(100007)(010)84007078"
3,考古,"北京市王府井大街27号(100710)(010)65253665"
4,考古与文物,"西安市雁塔路南段乐游路3号(710054)(029)85529472"
5,华夏考古,"郑州市陇海北三街9号(450000)(0371)66319695"
6,敦煌研究,"甘肃省兰州市滨河东路292号(730000)(0931)8866013  8415026"
7,江汉考古,"武汉市武昌东湖路天鹅村(430077)(027)86793389"
经济学(72种)
序号,期刊名称,期刊信息
1,经济研究,"北京市阜外月坛北小街2号(100836)(010)68034153"
2,中国工业经济,"北京市阜外月坛北小街2号(100836)(010)68032678"
3,金融研究,"北京市西城区成方街32号2号楼(100800)(010)66195402  66195205"
4,经济社会体制比较,"北京市西城区西斜街36号(100032)(010)66179690"
5,世界经济,"北京市建国门内大街5号(100732)(010)85195790"
6,会计研究,"北京市复兴门外三里河财政部(100820)(010)68528922"
7,中国农村经济,"北京市建国门内大街5号(100732)(010)85195650"
8,国际经济评论,"北京市建国门内大街5号15层(100732)(010)85195773"
9,经济科学,"北京大学法学楼4层(100871)(010)62751488"
10,改革,"重庆市江北区桥北村270号(400020)(023)67767553"
11,经济学动态,"北京市阜外月坛北小街2号(100836)(010)68051607"
12,中国农村观察,"北京市建国门内大街5号(100732)(010)85195649"
13,财贸经济,"北京市阜外月坛北小街2号(100836)(010)68034659"
14,农业经济问题,"北京市中关村南大街12号(100081)(010)68918705"
