,url,title,date
77,2583.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目(二次）第七包…, 2017-10-26
78,2584.htm,北京大学校内45甲地下师生配套生活服务国际快递招商租赁项目评标…, 2017-10-26
79,2585.htm,北京大学29号楼生活服务区文体用品商店招商租赁项目评标结果公告, 2017-10-26
80,2580.htm,2017年10月教职工住房补贴申请资格公示名单, 2017-10-16
81,2579.htm,2017年9月已购公有住房上市出售信息公示, 2017-10-09
82,2578.htm,房地产管理部2017国庆节值班通知, 2017-09-29
83,2572.htm,北京大学校内45甲地下师生配套生活服务（6包件礼品纪念品商店）招商…, 2017-09-22
84,2573.htm,北京大学燕东园生活超市招商租赁项目公开招标公告, 2017-09-22
85,2574.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目（二次）公开招…, 2017-09-22
86,2575.htm,北京大学校内45甲地下师生配套生活服务国际快递招商租赁项目公开…, 2017-09-22
87,2576.htm,北京大学29号楼生活服务区文体用品商店招商租赁项目公开招标公告, 2017-09-22
88,2577.htm,北京大学燕东园生活超市招商租赁项目变更公告, 2017-09-22
89,2474.htm,2017年9月教职工住房补贴申请资格公示名单, 2017-09-15
90,2475.htm,2017年8月已购公有住房上市出售信息公示, 2017-09-01
91,2476.htm,2017年7月已购公有住房上市出售信息公示, 2017-07-30
92,2477.htm,房地产管理部2017暑假值班表, 2017-07-05
93,2478.htm,2017年6月已购公有住房上市出售信息公示, 2017-06-30
94,2473.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目中标公告, 2017-06-22
95,2479.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目竞争性磋商结…, 2017-06-22
96,2480.htm,北京大学邱德拔体育馆便利店、五四体育场便利店及45甲地下生活超市…, 2017-06-22
97,2481.htm,北京大学校内教学楼区域及45甲地下五处师生服务区便利店招商租赁…, 2017-06-22
98,2472.htm,2017年6月教职工住房补贴申请资格公示名单, 2017-06-15
99,2471.htm,关于肖家河教师住宅购房人第二批公积金贷款面签事宜的通知, 2017-06-09
100,2470.htm,北京大学创新创业中心咖啡厅租赁项目（二次）评标情况报告, 2017-06-05
101,2467.htm,北京大学校内45甲地下师生配套生活服务招商租赁项目公开招标公告, 2017-06-02
102,2468.htm,北京大学校内教学楼区域及45甲地下五处师生服务区便利店招商租赁…, 2017-06-02
103,2469.htm,北京大学邱德拔体育馆便利店、五四体育场便利店及45甲地下生活超市…, 2017-06-02
104,2466.htm,2017年5月已购公有住房上市出售信息公示, 2017-05-31
105,2465.htm,2017年5月教职工住房补贴申请资格公示名单, 2017-05-15
106,2482.htm,北京大学创新创业中心咖啡厅租赁项目（二次）公开招标公告, 2017-05-12
107,2483.htm,北京大学创新创业中心咖啡厅租赁项目评标情况公告, 2017-05-08
108,2484.htm,2017年4月已购公有住房上市出售信息公示, 2017-04-28
109,2485.htm,北京大学创新创业中心咖啡厅租赁项目公开招标公告, 2017-04-19
110,2486.htm,2017年4月教职工住房补贴申请资格公示名单, 2017-04-14
111,2487.htm,2017年3月已购公有住房上市出售信息公示, 2017-04-05
112,2488.htm,2017年3月教职工住房补贴申请资格公示名单, 2017-03-15
113,2489.htm,2017年2月已购公有住房上市出售信息公示, 2017-03-01
114,2490.htm,关于肖家河教师住宅购房人公积金贷款面签事宜的通知, 2017-02-22
115,2491.htm,2017年1月已购公有住房上市出售信息公示, 2017-02-16
116,2492.htm,北京大学新太阳学生中心地下二层超市招商租赁项目（二次）中标公告, 2017-01-19
117,2493.htm,2016年12月已购公有住房上市出售信息公示, 2017-01-17
118,2494.htm,房地产管理部2017寒假值班表, 2017-01-16
119,2495.htm,北京大学新太阳学生中心地下二层超市招商租赁项目（二次）公开招标…, 2017-01-03
120,2496.htm,北京大学新太阳学生中心地下二层超市招商租赁项目评标情况公告, 2016-12-28
121,2497.htm,2016年12月教职工住房补贴申请资格公示名单, 2016-12-16
122,2498.htm,北京大学新太阳学生中心招商租赁项目招标公告, 2016-12-13
123,2464.htm,北京大学校内29号楼地下5号铺招标租赁项目竞争性磋商结果公告, 2016-12-08
124,2499.htm,北京大学第二教学楼咖啡饮品档口租赁项目竞争性磋商结果公告, 2016-12-08
125,2463.htm,2016年11月已购公有住房上市出售信息公示, 2016-12-01
126,2462.htm,北京大学第二教学楼咖啡饮品档口租赁项目公开招标公告, 2016-11-23
127,2461.htm,北京大学政府管理学院咖啡厅租赁项目竞争性磋商结果公告, 2016-11-17
128,2460.htm,2016年11月教职工住房补贴申请资格公示名单, 2016-11-15
129,2459.htm,2016年10月已购公有住房上市出售信息公示, 2016-11-01
130,2458.htm,北京大学政府管理学院咖啡厅租赁项目公开招标公告, 2016-10-18
131,2457.htm,2016年10月教职工住房补贴申请资格公示名单, 2016-10-14
132,2455.htm,北京大学五道口商业用房招商租赁项目中标公告, 2016-10-13
133,2456.htm,圆明园铁质家具报废招标通告, 2016-10-13
134,2454.htm,2016年9月已购公有住房上市出售信息公示, 2016-09-30
135,2453.htm,北京大学五道口商业用房招商租赁项目公开招标公告, 2016-09-20
136,2452.htm,2016年9月教职工住房补贴申请资格公示名单, 2016-09-16
137,2451.htm,2016年8月已购公有住房上市出售信息公示, 2016-09-02
138,2450.htm,2016年7月已购公有住房上市出售信息公示, 2016-07-29
139,2449.htm,北京大学校内29号楼师生配套生活服务招商租赁项目中标公告, 2016-07-22
140,2448.htm,北京大学校内29号楼师生配套生活服务招商租赁项目公开招标公告, 2016-07-08
141,2447.htm,房地产管理部2016暑假值班表, 2016-07-06
142,2446.htm,2016年6月已购公有住房上市出售信息公示, 2016-06-30
143,2445.htm,2016年6月教职工住房补贴申请资格公示名单, 2016-06-15
144,2444.htm,2016年5月已购公有住房上市出售信息公示, 2016-06-02
145,2443.htm,关于家具清查工作的通知, 2016-05-24
146,2442.htm,2016年5月教职工住房补贴申请资格公示名单, 2016-05-16
147,2441.htm,2016年4月已购公有住房上市出售信息公示, 2016-05-04
148,2440.htm,2016年4月教职工住房补贴申请资格公示名单, 2016-04-15
149,2439.htm,2016年3月已购公有住房上市出售信息公示, 2016-04-01
150,2438.htm,2016年3月教职工住房补贴申请资格公示名单, 2016-03-15
151,2437.htm,2016年2月已购公有住房上市出售信息公示, 2016-02-29
152,2436.htm,2016年1月已购公有住房上市出售信息公示, 2016-01-31
153,2435.htm,房地产管理部2016寒假值班表, 2016-01-14
154,2434.htm,2015年12月已购公有住房上市出售信息公示, 2015-12-31
155,2433.htm,2015年12月教职工住房补贴申请资格公示名单, 2015-12-17
156,2432.htm,2015年11月已购公有住房上市出售信息公示, 2015-11-30
157,2431.htm,关于肖家河教师住宅申购服务系统使用的提示, 2015-11-21
158,2430.htm,关于启动肖家河教师住宅配售工作的通知, 2015-11-20
159,2429.htm,2015年11月教职工住房补贴申请资格公示名单, 2015-11-17
160,2500.htm,2015年10月已购公有住房上市出售信息公示, 2015-10-30
161,2501.htm,2015年10月教职工住房补贴申请资格公示名单, 2015-10-15
162,2502.htm,房地产管理部搬迁公告, 2015-10-07
163,2503.htm,2015年9月已购公有住房上市出售信息公示, 2015-09-29
164,2504.htm,2015年9月教职工住房补贴申请资格公示名单, 2015-09-16
165,2505.htm,2015年8月已购公有住房上市出售信息公示, 2015-08-31
166,2506.htm,2015年7月已购公有住房上市出售信息公示, 2015-07-30
167,2507.htm,房地产管理部2015年暑假值班表, 2015-07-16
168,2508.htm,2015年7月教职工住房补贴申请资格公示名单, 2015-07-16
169,2509.htm,2015年6月已购公有住房上市出售信息公示, 2015-07-01
170,2510.htm,2015年6月教职工住房补贴申请资格公示名单, 2015-06-16
171,2511.htm,2015年5月已购公有住房上市出售信息公示, 2015-05-29
172,2512.htm,2015年5月教职工住房补贴申请资格公示名单, 2015-05-15
173,2513.htm,2015年4月已购公有住房上市出售信息公示, 2015-04-30
174,2514.htm,2015年4月教职工住房补贴申请资格公示名单, 2015-04-15
175,2515.htm,2015年3月已购公有住房上市出售信息公示, 2015-03-31
176,2516.htm,关于2014至2015年度供暖费报销服务截止时间的最后通知, 2015-03-16
177,2517.htm,2015年3月教职工住房补贴申请资格公示名单, 2015-03-13
178,2518.htm,北京大学房地产管理部工作人员招聘启事, 2015-03-10
179,2519.htm,关于2014-2015年度供暖费报销服务截止时间的通知, 2015-02-27
180,2520.htm,2015年2月已购公有住房上市出售信息公示, 2015-02-27
181,2521.htm,2015年1月教职工住房补贴申请资格公示, 2015-01-12
182,2522.htm,房地产管理部2015年寒假轮休值班安排, 2015-01-09
183,2523.htm,2014年12月已购公有住房上市出售信息公示, 2014-12-31
184,2524.htm,关于暂停报销供暖费服务的通知, 2014-12-25
185,2525.htm,2014年12月教职工住房补贴申请资格公示, 2014-12-16
186,2526.htm,2014年11月已购公有住房上市出售信息公示, 2014-11-28
187,2527.htm,2014年11月教职工住房补贴申请资格公示, 2014-11-17
188,2528.htm,北京大学高访公寓精装修（三期）工程招标公告, 2014-11-15
189,2529.htm,2014年10月已购公有住房上市出售信息公示, 2014-11-02
190,2530.htm,2014年9月已购公有住房上市出售信息公示, 2014-09-30
191,2531.htm,北京大学家属园区公共楼道塑钢窗招标采购项目（三期）招标公告, 2014-09-17
192,2532.htm,2014年9月教职工住房补贴申请资格公示名单, 2014-09-15
193,2533.htm,2014年7-8月已购公有住房上市出售信息公示, 2014-09-05
194,2534.htm,关于领取五道口嘉园房屋产权证的通知, 2014-07-01
195,2535.htm,2014年6月已购公有住房上市出售信息公示, 2014-06-30
196,2536.htm,2014年6月教职工住房补贴申请资格公示名单, 2014-06-17
197,2537.htm,北京大学家属园区公共楼道塑钢窗招标采购项目（三期）招标公告, 2014-06-13
198,2538.htm,关于领取五道口嘉园房屋产权证的通知, 2014-06-12
199,2539.htm,2014年5月已购公有住房上市出售信息公示, 2014-05-30
200,2540.htm,2014年5月教职工住房补贴申请资格公示名单, 2014-05-13
201,2541.htm,北京大学资源西楼顶层屋面防水改造工程招标公告, 2014-05-06
202,2542.htm,2014年4月已购公有住房上市出售信息公示, 2014-04-30
203,2543.htm,2014年4月教职工住房补贴申请资格公示名单, 2014-04-15
204,2544.htm,2014年3月已购公有住房上市出售信息公示, 2014-03-27
205,1293322.htm,关于第三批领取五道口嘉园房屋产权证的通知, 2014-03-12
206,2545.htm,2014年3月教职工住房补贴申请资格公示名单, 2014-03-11
207,2546.htm,关于教师公寓集中调配工作有关事项的通知, 2014-03-04
208,2547.htm,2014年2月已购公有住房上市出售信息公示, 2014-02-28
209,2548.htm,2014年1月已购公有住房上市出售信息公示, 2014-01-22
210,2549.htm,2014年寒假对外办公时间安排, 2014-01-14
211,2550.htm,北京大学已购公有住房上市出售管理暂行办法, 2014-01-14
212,2551.htm,北京大学已购公有住房上市出售办理流程, 2014-01-14
213,2552.htm,2014年1月教职工住房补贴申请资格公示名单, 2014-01-13
214,2553.htm,关于领取五道口嘉园房屋产权证的通知, 2014-01-09
215,2554.htm,2013年12月教职工住房补贴申请资格公示名单, 2013-12-13
