,url,title
94,46954.htm,2016-2017年度北京大学“青年岗位能手标兵”、 “青年岗位能手”获奖名单公示
95,46953.htm, 取 消 停 电 通 知
96,46671.htm,停电通知
97,46674.htm,关于联通电话设备升级的通知 
98,47063.htm,4月份综合检查情况通报
99,46109.htm,39楼、32楼学生致保洁员的感谢信
100,46144.htm,3月份综合检查情况通报
101,46108.htm,关于开展2017年春季安全卫生检查活动的通知
102,46067.htm,关于餐饮综合楼施工情况的说明
103,46105.htm,关于开展2016年度评优评先工作的通知
104,46143.htm,2016-2017学年“安全文明卫生宿舍”活动圆满结束
105,46111.htm,2016年秋季学期复习考试阶段总务系统保障服务工作安排
106,46149.htm,11月份综合检查情况通报
107,46148.htm,6月份综合检查情况通报
108,46151.htm,火情通报
109,46150.htm,3月份综合检查情况通报
110,46152.htm,封路施工的通知
111,46153.htm,新学期恢复熄灯制度的通知
112,46154.htm,学生信息查询系统暂停使用通知
113,46157.htm,公寓服务中心2015年先进及单项奖情况公示
